2
virus;1.5;1.2;1.5;0.5
3;False;0;False;[];7;0;[];[dia: 0, infectados: 1, muertos: 0, dia: 1, nuevos infectados: 0, nuevos muertos: 0, dia: 2, nuevos infectados: 7, nuevos muertos: 0]
Argentina;220510520;0;0;[Brazil, Bolivia, Chile, Uruguay];Argentina:True:[New Zealand, United Arab Emirates, Greece, United Kingdom, Austria, Nepal, Uruguay, Israel, Chile, Egypt, Costa Rica, Iran, Spain, Qatar, South Korea, Russia, South Africa, Colombia, Denmark, Germany, India, Kenya, Netherlands, Saudi Arabia, Switzerland, Turkey, Thailand, United States];False;True;False;0
Australia;60564265;0;0;[];Australia:True:[Canada, Croatia, Kenya, Nepal, Israel, China, Sweden, France, Denmark, Italy, Brazil, Portugal, Hong Kong, South Africa, South Korea, Costa Rica, Colombia, Greece, India, Libya, Norway, Spain, Turkey, United States];False;True;False;0
Austria;330713014;0;0;[Italy, Switzerland, Costa Rica, Germany];Austria:True:[Argentina, Libya, Croatia, Kenya, Saudi Arabia, India, South Korea, Spain, Iran, Portugal, Turkey, Switzerland, United Arab Emirates, Italy, Chile, Brazil, Norway, Uruguay, France, Costa Rica, Colombia, Egypt, Hong Kong, Japan, Netherlands, New Zealand, Qatar, South Africa, Thailand];False;True;False;0
Brazil;261340539;0;0;[Argentina, Colombia, Uruguay, Bolivia, Chile];Brazil:True:[Australia, Austria, Denmark, Italy, Portugal, Qatar, Mexico, China, Hong Kong, Costa Rica, Switzerland, United Kingdom, United States, Greece, Croatia, Nepal, France, Canada, Libya, Netherlands, New Zealand, Saudi Arabia, Sweden, South Korea, Turkey, Thailand, Uruguay];False;True;False;0
Canada;324114304;0;0;[United States];Canada:True:[Australia, Croatia, Colombia, France, Turkey, Uruguay, United Arab Emirates, Norway, Japan, Sweden, Brazil, South Korea, Germany, Qatar, Russia, Hong Kong, India, United Kingdom, Saudi Arabia, Costa Rica, Greece, Kenya, Mexico, New Zealand, Nepal, Spain];False;True;False;0
Chile;330614301;8;0;[Argentina, Brazil];Chile:True:[Argentina, Austria, China, Costa Rica, Denmark, Norway, Japan, United Arab Emirates, New Zealand, Sweden, South Africa, Netherlands, Nepal, Croatia, United States, France, Germany, Greece, Hong Kong, Italy, India, Kenya, Portugal, Qatar, Russia, Saudi Arabia, Switzerland, South Korea, Thailand, United Kingdom];False;True;False;3
China;246759438;0;0;[India, Nepal, North Korea, Hong Kong, Russia];China:True:[Australia, Brazil, Germany, Mexico, Hong Kong, Sweden, India, Chile, Colombia, Greece, Egypt, Nepal, Libya, Spain, New Zealand, Croatia, United Arab Emirates, Denmark, Israel, Kenya, Norway, Qatar, Russia, Saudi Arabia, Switzerland, South Korea, Turkey, Thailand, United Kingdom];False;True;False;0
Colombia;369487699;0;0;[Brazil, Ecuador];Colombia:True:[China, Canada, India, Japan, Sweden, Qatar, Nepal, Turkey, Denmark, Australia, Norway, Russia, Switzerland, Saudi Arabia, Austria, United Kingdom, New Zealand, Argentina, Kenya, Mexico, Spain, South Korea, Uruguay, United Arab Emirates];False;True;False;0
Croatia;321442205;0;0;[];Croatia:True:[Australia, Austria, Brazil, China, Canada, Israel, Switzerland, Mexico, New Zealand, Iran, United Kingdom, India, Greece, South Africa, Hong Kong, Uruguay, Germany, Nepal, Thailand, Norway, Costa Rica, Chile, Sweden, United Arab Emirates];False;True;False;0
Costa Rica;354935336;0;0;[Austria];Costa Rica:True:[Argentina, Brazil, Egypt, Italy, Iran, Norway, South Korea, Chile, Canada, Germany, Austria, Qatar, Nepal, Croatia, New Zealand, Saudi Arabia, Kenya, Australia, Denmark, Greece, Japan, Libya, Mexico, Netherlands, Russia, Sweden, Spain, Turkey, Thailand, Uruguay, United Kingdom, United States, United Arab Emirates];False;True;False;0
Denmark;56713529;0;0;[Germany];Denmark:True:[Australia, Brazil, Colombia, Chile, Egypt, France, China, Costa Rica, Sweden, Argentina, Portugal, United States, Mexico, Thailand, Russia, Norway, Turkey, Greece, Israel, Italy, Kenya, Netherlands, New Zealand, Qatar, Saudi Arabia, South Korea];False;True;False;0
Egypt;205533491;0;0;[Libya, Israel];Egypt:True:[Argentina, China, Costa Rica, Denmark, Portugal, Thailand, Mexico, Italy, Norway, France, Uruguay, Libya, Kenya, Nepal, Austria, Netherlands, Greece, United Kingdom, New Zealand, Russia, South Korea, Switzerland, Germany, Saudi Arabia, Sweden];False;True;False;0
France;245475199;0;0;[Spain, Italy, Switzerland, Germany];France:True:[Australia, Austria, Brazil, Canada, Chile, Denmark, Egypt, Germany, Mexico, South Africa, Uruguay, United States, India, South Korea, Italy, Netherlands, Nepal, United Kingdom, Russia, Kenya, United Arab Emirates, New Zealand, Portugal, Saudi Arabia, Switzerland];False;True;False;0
Germany;367640947;0;0;[Austria, Denmark, France, Netherlands, Switzerland];Germany:True:[China, Croatia, Canada, Costa Rica, France, Libya, Spain, Switzerland, Netherlands, Argentina, Japan, Portugal, Qatar, India, South Korea, South Africa, Chile, Egypt, Thailand, Hong Kong, Norway, New Zealand, Nepal, Russia, Turkey, Uruguay, United Kingdom, United Arab Emirates];False;True;False;0
Greece;389807832;0;0;[Turkey];Greece:True:[Argentina, Brazil, China, Croatia, Egypt, Canada, Russia, Saudi Arabia, United States, Australia, Sweden, South Africa, Chile, Denmark, Italy, Turkey, Thailand, Costa Rica, South Korea, Israel, India, Iran, Libya, Mexico, Norway, Portugal, Qatar, Spain];False;True;False;0
Hong Kong;357353508;0;0;[China];Hong Kong:True:[Australia, Brazil, China, Croatia, Canada, New Zealand, Kenya, Saudi Arabia, Austria, Germany, United States, Qatar, Sweden, South Africa, Russia, Chile, United Arab Emirates, Thailand, Iran, Uruguay, Israel, Netherlands, Nepal, Portugal, Spain, United Kingdom];False;True;False;0
India;236888983;0;0;[China, Nepal];India:True:[Austria, China, Croatia, Canada, Colombia, France, Germany, Israel, Italy, Australia, South Africa, Qatar, Portugal, United Arab Emirates, Mexico, United States, Chile, United Kingdom, Argentina, Saudi Arabia, Turkey, Norway, Greece, Iran, Libya, Sweden, Switzerland, Spain, Uruguay];False;True;False;0
Iran;350622493;0;0;[Turkey];Iran:True:[Argentina, Austria, Croatia, Costa Rica, Hong Kong, Israel, Greece, New Zealand, Nepal, United Kingdom, Spain, United States, Switzerland, India, Sweden, South Africa, Mexico, Norway, Turkey, Libya, Kenya, South Korea, Thailand, United Arab Emirates];False;True;False;0
Israel;200426436;0;0;[Egypt];Israel:True:[Argentina, Australia, Croatia, Kenya, United States, Greece, China, India, Uruguay, Mexico, Thailand, Denmark, Iran, South Korea, Russia, South Africa, Hong Kong, Spain, Japan, Turkey, United Kingdom];False;True;False;0
Italy;111276531;0;0;[Austria, France, Switzerland];Italy:True:[Australia, Austria, Brazil, Costa Rica, Egypt, France, Greece, India, South Korea, Sweden, Uruguay, Nepal, Turkey, Denmark, Chile, Russia, Libya, Saudi Arabia, Portugal, New Zealand, United Arab Emirates, United Kingdom, Qatar];False;True;False;0
Japan;226778804;0;0;[];Japan:True:[Canada, Colombia, Chile, Germany, Qatar, United Arab Emirates, Norway, Netherlands, Israel, Libya, Austria, Kenya, New Zealand, Saudi Arabia, United Kingdom, Switzerland, Costa Rica, Mexico, Nepal, Sweden, Spain, Uruguay, United States];False;True;False;0
Kenya;206651394;0;0;[Tanzania];Kenya:True:[Australia, Austria, Costa Rica, Egypt, France, Hong Kong, Israel, Japan, Canada, Libya, Colombia, Norway, Mexico, Saudi Arabia, United Arab Emirates, Iran, Argentina, Uruguay, China, Thailand, Denmark, Chile, Netherlands, Nepal, Portugal, Russia, Sweden, Spain, South Africa, South Korea, Turkey];False;True;False;0
Libya;309322073;0;0;[Egypt];Libya:True:[Austria, China, Egypt, Germany, Italy, Iran, Japan, Kenya, India, Norway, Brazil, Portugal, Turkey, Mexico, Thailand, United Kingdom, Greece, Australia, New Zealand, United States, Qatar, Spain, Costa Rica, Nepal, Russia, Saudi Arabia, South Africa, South Korea, Uruguay, United Arab Emirates];False;True;False;0
