id:string,tipo:string,velocidad:int,lat:float,lon:float,autonomia:int,delay:int,tasa_extincion:int,costo:int
0,BOMBEROS,63,-35.908571705499156,-71.27790267780281,6.0,2,136,1554
1,BOMBEROS,58,-37.89445584408604,-70.80257996650612,6.0,3,163,1494
2,BOMBEROS,52,-33.62126458748524,-70.72302007657856,7.0,3,155,1462
3,HELICOPTERO,206,-32.93999274406653,-70.4255981339979,1.0,1,195,3023
4,HELICOPTERO,188,-33.138560892825446,-71.23706666549957,1.0,1,207,3071
5,BOMBEROS,53,-36.5914270293149,-71.29647802794535,6.0,3,153,1354
6,BOMBEROS,64,-37.44737604752435,-71.81049453112308,7.0,3,145,1583
7,BRIGADA,91,-37.79886351925083,-70.45904044310247,4.0,3,194,1869
8,BRIGADA,89,-35.045990942076486,-70.9879657043945,7.0,3,178,1762
9,BOMBEROS,67,-37.64008092421322,-71.20539832000165,6.0,3,156,1417
10,BOMBEROS,56,-36.39703615779394,-70.88190370103985,5.0,3,132,1459
11,AVION,353,-36.666000782128144,-71.23682747378844,2.0,1,531,4884
12,HELICOPTERO,169,-32.86986387435755,-70.51892497275878,0.0,1,204,3137
13,BOMBEROS,54,-36.699991722299465,-71.78852341219248,5.0,3,137,1600
14,AVION,319,-33.193693227544514,-71.19767741858205,2.0,1,434,4979
15,BOMBEROS,54,-35.5829716781153,-70.49609343456235,7.0,3,163,1537
16,BRIGADA,97,-36.160635215809044,-70.91629982092302,6.0,4,156,1899
17,HELICOPTERO,263,-35.03737682453807,-71.89765853842181,0.0,1,218,2988
18,BOMBEROS,60,-33.61714942656223,-71.11308591646025,6.0,3,152,1570
19,BOMBEROS,64,-36.95380181473991,-71.58439149209103,6.0,3,145,1531
20,HELICOPTERO,171,-37.76116838013837,-71.08650006341875,0.0,1,212,2970
21,BRIGADA,108,-32.664880052715276,-70.45143324346493,7.0,3,191,1840
22,BOMBEROS,66,-33.296276676210454,-71.5845900683687,6.0,3,143,1494
23,BOMBEROS,59,-34.40826779069475,-70.2882093721604,6.0,5,135,1419
24,BOMBEROS,61,-37.1020077101521,-71.8070253316357,5.0,3,132,1556
25,BOMBEROS,54,-35.669525200959065,-71.27628328252113,5.0,3,153,1487
26,BOMBEROS,62,-34.94259865070354,-70.66050396312278,6.0,4,170,1671
27,BRIGADA,91,-33.38821965859183,-71.48492132817161,6.0,3,169,1973
28,BOMBEROS,56,-37.25525914936164,-70.97131135041364,6.0,2,140,1578
29,BOMBEROS,53,-36.25735597403369,-71.04473797948172,5.0,3,148,1463
30,BRIGADA,104,-36.23383476343951,-70.79158397447041,5.0,3,178,1840
31,HELICOPTERO,170,-34.76828036437557,-70.62965636978448,1.0,1,222,3135
32,BRIGADA,115,-33.71018888982577,-70.36440413209692,6.0,4,201,2129
33,BRIGADA,112,-37.55751723507218,-70.91480476701955,6.0,3,192,1865
34,BOMBEROS,69,-34.7476624425133,-71.68469952512268,7.0,3,153,1441
35,BRIGADA,122,-35.26758643933081,-70.61553870722179,5.0,3,177,2014
36,BOMBEROS,56,-33.06963193932137,-70.6917035149692,8.0,3,159,1425
37,BRIGADA,108,-37.31095935964187,-70.54354097463357,5.0,3,173,1926
38,BOMBEROS,69,-33.26462690653897,-71.13938412133247,5.0,3,149,1650
39,BOMBEROS,63,-34.22907367455678,-71.06151367439304,8.0,4,162,1595
40,BRIGADA,91,-33.88691910229588,-71.20106181333043,6.0,3,189,1952
41,AVION,272,-36.45928837985658,-70.37571821543462,2.0,1,464,4946
42,BRIGADA,94,-37.553053751219096,-70.73264817959739,7.0,3,183,2052
43,BOMBEROS,74,-33.3013497978068,-70.30612850469768,6.0,3,157,1348
44,BOMBEROS,57,-33.89811480501941,-71.76004462133407,7.0,4,155,1366
45,BOMBEROS,66,-35.545491359446864,-70.6652199656023,6.0,3,129,1318
46,BOMBEROS,62,-32.72625443137013,-70.18824004974313,5.0,4,144,1376
47,BOMBEROS,59,-35.199928329478546,-71.7093316256498,7.0,2,143,1591
48,BOMBEROS,61,-35.25748687757085,-70.99846876732796,5.0,4,150,1648
49,BOMBEROS,49,-36.31651478380638,-70.76683984287732,6.0,3,136,1434
50,BOMBEROS,58,-33.46708541732707,-70.4821869199851,5.0,2,151,1491
51,HELICOPTERO,103,-34.73283130856825,-70.2822076944604,0.0,1,197,2944
52,BRIGADA,91,-35.93381503850942,-70.65132948596613,4.0,3,184,2073
